size,OMP-threads,time
10000,17,5.754267
10000,17,5.753753
10000,17,5.753923
10000,17,5.748015
10000,17,5.781212
10000,18,5.495076
10000,18,5.493484
10000,18,5.518827
10000,18,5.495026
10000,18,5.495504
10000,18,5.588692
10000,18,5.494578
10000,18,5.495698
10000,18,5.588444
10000,18,5.485961
10000,19,5.265646
10000,19,5.265301
10000,19,5.262982
10000,19,5.266675
10000,19,5.266329
10000,19,5.259894
10000,19,5.369527
10000,19,5.265786
10000,19,5.266510
10000,19,5.386680
10000,20,5.062837
10000,20,5.062467
10000,20,5.064429
10000,20,5.159767
10000,20,5.063075
10000,20,5.065751
10000,20,5.063897
10000,20,5.158003
10000,20,5.063877
10000,20,5.060378
10000,21,4.877733
10000,21,5.003237
10000,21,4.880380
10000,21,4.877128
10000,21,4.880124
10000,21,4.980529
10000,21,4.880538
10000,21,4.879798
10000,21,4.879578
10000,21,4.986652
10000,22,4.722596
10000,22,4.707712
10000,22,4.816919
10000,22,4.735674
10000,22,4.709902
10000,22,4.708226
10000,22,4.813370
10000,22,4.707399
10000,22,4.708183
10000,22,4.713367
10000,23,4.667634
10000,23,4.577180
10000,23,4.552408
10000,23,4.554709
10000,23,4.662820
10000,23,4.551463
10000,23,4.556540
10000,23,4.553914
10000,23,4.654114
10000,23,4.550966
10000,24,4.409812
10000,24,4.413581
10000,24,4.517824
10000,24,4.442687
10000,24,4.414420
10000,24,4.414725
10000,24,4.518738
10000,24,4.413171
10000,24,4.414098
10000,24,4.415993
10000,25,4.385799
10000,25,4.288339
10000,25,4.286405
10000,25,4.285251
10000,25,4.384728
10000,25,4.286558
10000,25,4.286680
10000,25,4.311250
10000,25,4.383538
10000,25,4.284554
10000,26,4.164572
10000,26,4.164155
10000,26,4.165655
10000,26,4.176152
10000,26,4.164775
10000,26,4.165774
10000,26,4.164388
10000,26,4.165180
10000,26,4.161537
10000,26,4.165894
10000,27,4.051516
10000,27,4.053317
10000,27,4.049690
10000,27,4.054561
10000,27,4.046926
10000,27,4.055439
10000,27,4.140105
10000,27,4.055960
10000,27,4.055404
10000,27,4.056351
10000,28,3.957778
10000,28,3.951610
10000,28,3.957787
10000,28,3.957881
10000,28,3.957133
10000,28,3.956244
10000,28,3.956923
10000,28,3.956602
10000,28,3.954502
10000,28,3.959725
10000,29,3.867543
10000,29,3.871657
