size,cores,time
10000,30,3.943221
10000,31,3.746170
10000,31,3.748981
10000,31,3.843456
10000,31,3.735343
10000,31,3.757827
10000,32,3.683321
10000,32,3.732433
10000,32,3.664007
10000,32,3.666603
10000,32,3.764713
10000,33,3.603061
10000,33,3.610523
10000,33,3.609834
10000,33,3.656286
10000,33,3.594211
10000,34,3.512113
10000,34,3.623567
10000,34,3.529471
10000,34,3.521775
10000,34,3.526697
10000,35,3.575834
10000,35,3.456080
10000,35,3.468013
10000,35,3.552895
10000,35,3.463822
10000,36,3.388800
10000,36,3.397817
10000,36,3.450143
10000,36,3.404861
10000,36,3.392895
10000,37,3.426170
10000,37,3.347158
10000,37,3.352489
10000,37,3.353899
10000,37,3.393052
10000,38,3.296429
10000,38,3.283946
10000,38,3.389654
10000,38,3.292199
10000,38,3.279902
10000,39,3.226734
10000,39,3.214104
10000,39,3.231500
10000,39,3.224993
10000,39,3.312318
10000,40,3.155086
10000,40,3.157887
10000,40,3.169579
10000,40,3.150110
10000,40,3.182265
10000,41,3.126844
10000,41,3.231153
10000,41,3.110302
10000,41,3.131333
10000,41,3.127165
10000,42,3.089483
10000,42,3.093210
10000,42,3.072322
10000,42,3.177687
10000,42,3.073307
10000,43,3.038954
10000,43,3.079009
10000,43,3.030527
10000,43,3.040717
10000,43,3.048487
10000,44,3.108442
10000,44,3.020633
10000,44,3.010468
10000,44,3.017600
10000,44,2.996496
10000,45,2.966419
10000,45,2.962899
10000,45,3.082601
10000,45,2.959981
10000,45,2.939937
10000,46,3.029847
10000,46,2.945878
10000,46,2.943060
10000,46,3.047785
10000,46,2.938588
10000,47,2.889776
10000,47,2.887058
10000,47,2.888606
10000,47,2.889641
10000,47,2.876436
10000,48,2.862046
10000,48,2.862761
10000,48,2.886065
10000,48,2.890606
10000,48,2.864518
10000,49,2.828662
10000,49,2.932159
10000,49,2.844306
10000,49,2.821991
10000,49,2.941962
10000,50,2.817385
10000,50,2.809348
10000,50,2.909536
10000,50,2.799040
10000,50,2.805563
10000,51,2.867405
10000,51,2.761820
10000,51,2.752358
10000,51,2.843440
10000,51,2.790323
10000,52,2.787132
10000,52,2.844483
10000,52,2.756070
10000,52,2.734499
10000,52,2.876346
10000,53,2.699490
10000,53,2.715999
10000,53,2.693722
10000,53,2.709103
10000,53,2.719977
10000,54,2.681698
10000,54,2.662425
10000,54,2.685731
10000,54,2.674753
10000,54,2.716180
10000,55,2.631810
10000,55,2.647102
10000,55,2.670039
10000,55,2.671720
10000,55,2.656082
10000,56,2.680687
10000,56,2.680523
10000,56,2.665113
10000,56,2.636612
10000,56,2.639951
10000,57,2.610072
10000,57,2.651521
10000,57,2.654924
10000,57,2.634673
10000,57,2.612173
10000,58,2.552292
10000,58,2.536086
10000,58,2.550036
10000,58,2.545198
10000,58,2.544717
10000,59,2.535493
10000,59,2.525134
10000,59,2.529504
10000,59,2.531891
10000,59,2.523921
10000,60,2.513707
10000,60,2.509335
10000,60,2.513488
10000,60,2.528497
10000,60,2.517701
10000,61,2.488595
10000,61,2.482881
10000,61,2.487425
10000,61,2.487997
10000,61,2.479715
10000,62,2.468696
10000,62,2.483610
10000,62,2.476842
10000,62,2.480891
10000,62,2.477664
10000,63,2.462305
