size,cores,time
5000,27,20.886833
5000,27,20.889048
5000,28,20.888126
5000,28,20.801561
5000,28,20.895103
5000,28,20.778189
5000,28,20.785027
5000,29,20.898520
5000,29,20.931649
5000,29,20.700840
5000,29,20.894600
5000,29,20.906349
5000,30,20.947815
5000,30,20.910420
5000,30,20.710357
5000,30,20.886469
5000,30,20.943437
5000,31,20.751968
5000,31,20.953942
5000,31,21.011395
5000,31,20.895177
5000,31,20.919086
5000,32,20.779849
5000,32,20.915427
5000,32,20.971092
5000,32,21.009742
5000,32,20.957851
5000,33,20.929843
5000,33,20.985418
5000,33,20.851126
5000,33,20.845813
5000,33,20.848846
5000,34,21.018711
5000,34,21.040411
5000,34,21.043745
5000,34,20.989016
5000,34,20.953816
5000,35,20.979194
5000,35,21.082354
5000,35,21.058308
5000,35,21.045364
5000,35,20.868800
5000,36,20.894059
5000,36,21.040140
5000,36,21.138508
5000,36,21.015153
5000,36,21.037483
5000,37,21.050978
5000,37,20.986705
5000,37,21.071965
5000,37,21.032477
5000,37,20.846529
5000,38,21.140876
5000,38,21.026114
5000,38,20.891675
5000,38,21.019751
5000,38,21.059566
5000,39,21.226164
5000,39,21.179516
5000,39,20.955256
5000,39,20.930432
5000,39,21.068825
5000,40,21.141621
5000,40,20.849051
5000,40,20.981177
5000,40,20.925002
5000,40,20.980483
5000,41,21.113012
5000,41,20.888305
5000,41,21.070560
5000,41,21.047878
5000,41,21.121915
5000,42,21.116568
5000,42,20.925029
5000,42,21.032854
5000,42,21.014426
5000,42,21.046649
5000,43,21.127922
5000,43,21.150859
5000,43,20.980873
5000,43,21.262650
5000,43,21.169821
5000,44,21.208619
5000,44,21.340555
5000,44,21.221810
5000,44,21.067051
5000,44,21.274446
5000,45,21.250080
5000,45,21.051613
5000,45,21.237522
5000,45,21.146190
5000,45,21.181456
5000,46,21.274871
5000,46,21.288215
5000,46,21.310008
5000,46,21.188691
5000,46,21.127993
5000,47,21.093063
5000,47,21.059588
5000,47,21.220761
5000,47,21.067440
5000,47,21.012838
5000,48,21.214866
5000,48,21.235736
5000,48,21.234857
5000,48,20.926746
5000,48,20.935232
5000,49,21.466160
5000,49,21.301017
5000,49,21.311847
5000,49,21.379736
5000,49,21.319174
5000,50,21.466250
5000,50,20.961567
5000,50,21.324009
5000,50,20.927606
5000,50,21.310810
5000,51,21.141267
5000,51,21.431249
5000,51,21.460048
5000,51,20.837239
5000,51,21.226243
5000,52,21.427519
5000,52,21.504204
5000,52,21.347112
5000,52,20.974432
5000,52,21.175448
5000,53,21.388554
5000,53,21.342070
5000,53,20.941180
5000,53,21.168859
5000,53,21.140613
5000,54,21.326317
5000,54,21.489471
5000,54,21.612430
5000,54,21.557710
5000,54,21.364543
5000,55,21.445343
5000,55,20.920167
5000,55,21.494694
5000,55,21.508641
5000,55,21.557142
5000,56,21.578440
5000,56,21.612463
5000,56,21.300332
5000,56,21.640618
5000,56,21.395677
