size,OMP-threads,time
5000,25,1.842073
5000,25,1.852818
5000,25,1.843047
5000,25,1.840889
5000,25,1.883835
5000,25,1.863608
5000,25,1.841759
5000,26,1.811411
5000,26,1.821120
5000,26,1.812151
5000,26,1.810972
5000,26,1.828574
5000,26,1.839913
5000,26,1.811918
5000,26,1.815994
5000,26,1.811731
5000,26,1.816846
5000,27,1.795963
5000,27,1.796723
5000,27,1.783940
5000,27,1.797122
5000,27,1.798975
5000,27,1.784187
5000,27,1.786004
5000,27,1.790534
5000,27,1.789373
5000,27,1.790358
5000,28,1.764475
5000,28,1.759039
5000,28,1.770284
5000,28,1.760743
5000,28,1.769974
5000,28,1.759192
5000,28,1.773096
5000,28,1.759668
5000,28,1.790029
5000,28,1.771385
5000,29,1.736866
5000,29,1.735555
5000,29,1.735788
5000,29,1.745934
5000,29,1.738441
5000,29,1.779635
5000,29,1.757077
5000,29,1.736209
5000,29,1.735245
5000,29,1.735754
5000,30,1.730168
5000,30,1.861917
5000,30,1.731993
5000,30,1.728414
5000,30,1.713410
5000,30,1.713567
5000,30,1.714031
5000,30,1.713101
5000,30,1.713365
5000,30,1.728585
5000,31,1.699974
5000,31,1.710964
5000,31,1.706991
5000,31,1.693695
5000,31,1.694217
5000,31,1.692845
5000,31,1.692307
5000,31,1.701793
5000,31,1.705233
5000,31,1.722231
5000,32,1.675060
5000,32,1.675301
5000,32,1.674190
5000,32,1.687360
5000,32,1.686413
5000,32,1.685450
5000,32,1.674453
5000,32,1.717624
5000,32,1.675072
5000,32,1.686890
5000,33,1.669139
5000,33,1.661318
5000,33,1.674730
5000,33,1.659403
5000,33,1.669672
5000,33,1.686044
5000,33,1.660051
5000,33,1.662025
5000,33,1.667307
5000,33,1.660632
5000,34,1.658859
5000,34,1.645815
5000,34,1.646376
5000,34,1.648330
5000,34,1.673020
5000,34,1.646514
5000,34,1.648170
5000,34,1.646395
5000,34,1.655594
5000,34,1.645185
5000,35,1.635171
5000,35,1.673866
5000,35,1.662061
5000,35,1.632808
5000,35,1.637234
5000,35,1.720693
5000,35,1.633103
5000,35,1.635209
5000,35,1.633360
5000,35,1.646768
5000,36,1.620341
5000,36,1.636178
5000,36,1.628537
5000,36,1.613853
5000,36,1.627137
5000,36,1.609390
5000,36,1.621119
5000,36,1.613997
5000,36,1.639186
5000,36,1.645412
5000,37,1.595524
5000,37,1.594184
5000,37,1.594403
5000,37,1.610062
5000,37,1.593381
5000,37,1.595371
5000,37,1.595021
5000,37,1.595620
5000,37,1.592292
5000,37,1.595281
5000,38,1.580153
5000,38,1.580573
5000,38,1.580683
5000,38,1.587459
5000,38,1.580061
5000,38,1.580078
5000,38,1.581340
5000,38,1.579382
5000,38,1.594127
5000,38,1.592210
5000,39,1.658235
5000,39,1.567089
5000,39,1.576040
5000,39,1.567488
5000,39,1.565975
5000,39,1.579156
5000,39,1.566367
5000,39,1.568480
5000,39,1.566768
5000,39,1.572245
5000,40,1.554507
5000,40,1.557028
5000,40,1.558700
5000,40,1.564351
