n_cores,size,gflops
51,10000,1765.719524
51,10000,1814.905636
51,10000,1818.775285
51,10000,1815.945791
51,10000,1809.500488
51,10000,1787.281447
51,10000,1751.527734
51,10000,1752.787785
51,10000,1772.074348
52,10000,1782.896056
52,10000,1720.138912
52,10000,1763.894252
52,10000,1792.974759
52,10000,1758.049686
52,10000,1755.528506
52,10000,1745.757968
52,10000,1751.924118
52,10000,1750.645024
52,10000,1742.369044
53,10000,1661.018156
53,10000,1670.834618
53,10000,1635.312023
53,10000,1650.664684
53,10000,1635.000556
53,10000,1656.290638
53,10000,1667.208001
53,10000,1663.464932
53,10000,1651.246374
53,10000,1676.212713
54,10000,1561.215522
54,10000,1658.790654
54,10000,1668.312667
54,10000,1667.773199
54,10000,1650.672098
54,10000,1625.843911
54,10000,1637.342268
54,10000,1625.451605
54,10000,1672.457565
54,10000,1696.032579
55,10000,1612.424141
55,10000,1592.884077
55,10000,1612.624040
55,10000,1615.341387
55,10000,1605.554990
55,10000,1659.112351
55,10000,1627.705652
55,10000,1600.927422
55,10000,1678.442162
55,10000,1624.172682
56,10000,1618.487343
56,10000,1650.279214
56,10000,1620.283081
56,10000,1626.372777
56,10000,1633.844383
56,10000,1642.694712
56,10000,1631.968484
56,10000,1628.106138
56,10000,1632.607327
56,10000,1640.308367
57,10000,1700.020881
57,10000,1652.533432
57,10000,1639.458303
57,10000,1665.572745
57,10000,1691.778250
57,10000,1672.940369
57,10000,1745.032905
57,10000,1644.183478
57,10000,1663.427766
57,10000,1660.544044
58,10000,1680.397360
58,10000,1722.617451
58,10000,1679.191789
58,10000,1717.139843
58,10000,1599.967605
58,10000,1694.763179
58,10000,1660.676961
58,10000,1666.345774
58,10000,1737.493631
58,10000,1671.705467
59,10000,1686.975265
59,10000,1693.757504
59,10000,1692.406362
59,10000,1661.512765
59,10000,1701.578114
59,10000,1680.834219
59,10000,1685.965785
59,10000,1718.647323
59,10000,1699.617305
59,10000,1680.766235
60,10000,1634.248676
60,10000,1671.018060
60,10000,1709.146033
60,10000,1723.527716
60,10000,1629.624599
60,10000,1659.743009
60,10000,1696.009522
60,10000,1630.304841
60,10000,1697.153172
60,10000,1651.720935
61,10000,1731.524718
61,10000,1679.775815
61,10000,1740.334138
61,10000,1722.032727
61,10000,1698.742387
61,10000,1724.620107
61,10000,1729.585107
61,10000,1620.577226
61,10000,1759.606754
61,10000,1715.152778
62,10000,1687.470530
62,10000,1618.572937
62,10000,1687.340095
62,10000,1693.097539
62,10000,1617.843275
62,10000,1637.641535
62,10000,1666.120532
62,10000,1688.677223
62,10000,1633.023780
62,10000,1682.936005
63,10000,1626.952144
63,10000,1645.088620
63,10000,1605.586926
63,10000,1611.685395
63,10000,1607.279216
63,10000,1714.745598
63,10000,1613.508488
63,10000,1630.750530
63,10000,1723.954214
63,10000,1711.050069
64,10000,1637.540880
64,10000,1621.557725
64,10000,1593.380736
64,10000,1633.044425
64,10000,1703.139366
64,10000,1744.004693
64,10000,1606.957327
64,10000,1679.548380
64,10000,1648.292989
64,10000,1661.716911
