n_cores,size,gflops
59,10000,928.235284
59,10000,922.670725
59,10000,923.186819
59,10000,928.211202
59,10000,922.255090
59,10000,917.119541
59,10000,921.261831
60,10000,1512.597818
60,10000,1528.982276
60,10000,1506.257310
60,10000,1507.101609
60,10000,1528.453448
60,10000,1516.656828
60,10000,1536.284800
60,10000,1534.510841
60,10000,1553.388623
60,10000,1551.090748
61,10000,1486.944753
61,10000,1493.956558
61,10000,1466.821677
61,10000,1478.432840
61,10000,1494.859825
61,10000,1485.831171
61,10000,1436.213729
61,10000,1466.883708
61,10000,1471.372110
61,10000,1475.591371
62,10000,985.256719
62,10000,962.249680
62,10000,956.547147
62,10000,940.790432
62,10000,941.185849
62,10000,938.700999
62,10000,938.669607
62,10000,950.237907
62,10000,934.148668
62,10000,936.650806
63,10000,1569.693796
63,10000,1568.920262
63,10000,1571.786006
63,10000,1527.575584
63,10000,1552.788605
63,10000,1597.023704
63,10000,1543.543245
63,10000,1558.872777
63,10000,1552.966652
63,10000,1549.915959
64,10000,1586.236944
64,10000,1567.161001
64,10000,1564.478089
64,10000,1565.438317
64,10000,1534.371773
64,10000,1577.422726
64,10000,1564.809784
64,10000,1595.203949
64,10000,1567.666866
64,10000,1536.201749
